rank,title,rating,release_year
12,Aladdin,3.89,1992
13,Monsters University,3.41,2013
14,Casino Royale,4.01,2006
15,The Hobbit: An Unexpected Journey,3.49,2012
16,Megamind,3.71,2010
17,Elf,3.44,2003
18,It's a Wonderful Life,4.39,1946
19,Nocturnal Animals,3.71,2016
20,American History X,4.13,1998
21,Hit Man,3.37,2023
22,Possession,4.07,1981
23,Dawn of the Planet of the Apes,3.82,2014
24,Singin' in the Rain,4.33,1952
25,The Emperor's New Groove,3.90,2000
26,The Invisible Man,3.42,2020
27,The Lego Batman Movie,3.85,2017
28,Casino,4.20,1995
29,Men in Black,3.66,1997
30,Indiana Jones and the Last Crusade,4.09,1989
31,Seven Samurai,4.61,1954
32,Ice Age,3.54,2002
33,Dazed and Confused,3.93,1993
34,The Power of the Dog,3.67,2021
35,Raging Bull,4.24,1980
36,The Girl with the Dragon Tattoo,3.89,2011
37,Eraserhead,3.86,1977
38,The Babadook,3.36,2014
39,Paprika,4.08,2006
40,X-Men: First Class,3.58,2011
41,Lilo & Stitch,4.01,2002
42,Jumanji: Welcome to the Jungle,3.08,2017
43,WandaVision,3.76,2021
44,Atonement,3.98,2007
45,Cocaine Bear,2.70,2023
46,Batman v Superman: Dawn of Justice,2.43,2016
47,Venom: Let There Be Carnage,2.50,2021
48,Napoleon,2.93,2023
49,Sorry to Bother You,3.73,2018
50,The Platform,3.25,2019
51,The Wizard of Oz,3.96,1939
52,Solo: A Star Wars Story,2.90,2018
53,Paddington,3.79,2014
54,Matilda,3.72,1996
55,Madagascar,3.52,2005
56,Persona,4.41,1966
57,Being John Malkovich,4.08,1999
58,Zoolander,3.35,2001
59,The Pursuit of Happyness,3.91,2006
60,Roma,4.10,2018
61,White Chicks,3.46,2004
62,The Twilight Saga: New Moon,2.63,2009
63,Immaculate,2.93,2024
64,The Darjeeling Limited,3.82,2007
65,Home Alone 2: Lost in New York,3.49,1992
66,Raw,3.69,2016
67,Scream 2,3.26,1997
68,Enemy,3.62,2013
69,Titane,3.61,2021
70,Do the Right Thing,4.40,1989
71,The Little Mermaid,3.15,2023
72,The Secret Life of Walter Mitty,3.77,2013
1,How the Grinch Stole Christmas,3.46,2000
2,The Princess and the Frog,3.88,2009
3,Spencer,3.66,2021
4,Indiana Jones and the Temple of Doom,3.64,1984
5,The Talented Mr. Ripley,3.85,1999
6,The Evil Dead,3.66,1981
7,Aquaman,2.78,2018
8,Before Midnight,4.06,2013
9,Edge of Tomorrow,3.76,2014
10,Moneyball,3.90,2011
11,Nobody,3.51,2021
12,Drive My Car,4.20,2021
13,Beauty and the Beast,3.89,1991
14,Kick-Ass,3.51,2010
15,Old,2.44,2021
16,Night at the Museum,3.29,2006
17,Dream Scenario,3.44,2023
18,To All the Boys I've Loved Before,3.00,2018
19,World War Z,3.14,2013
20,Teenage Mutant Ninja Turtles: Mutant Mayhem,3.77,2023
21,Eighth Grade,3.78,2018
22,Kingdom of the Planet of the Apes,3.34,2024
23,Prometheus,3.28,2012
24,Shazam!,3.08,2019
25,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,3.73,2006
26,Dirty Dancing,3.67,1987
27,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",3.53,2005
28,28 Days Later,3.77,2002
29,Hercules,3.80,1997
30,Cinema Paradiso,4.47,1988
31,Monty Python and the Holy Grail,4.14,1975
32,Rocketman,3.68,2019
33,Life Is Beautiful,4.36,1997
34,War for the Planet of the Apes,3.80,2017
35,The Hunt,4.29,2012
36,The Proposal,3.34,2009
37,Snatch,4.02,2000
38,Pirates of the Caribbean: At World's End,3.46,2007
39,X-Men,3.32,2000
40,In Bruges,4.11,2008
41,Mission: Impossible – Fallout,3.96,2018
42,Man of Steel,3.02,2013
43,Normal People,4.42,2020
44,Stalker,4.42,1979
45,Climax,3.77,2018
46,Jackie Brown,3.88,1997
47,Emma.,3.70,2020
48,Ted,3.00,2012
49,Into the Wild,3.81,2007
50,The Iron Giant,4.25,1999
51,Indiana Jones and the Dial of Destiny,2.92,2023
52,Baby Reindeer,4.00,2024
53,Mysterious Skin,4.20,2004
54,Frozen II,3.12,2019
55,Chinatown,4.30,1974
56,Romeo + Juliet,3.41,1996
57,Rango,3.68,2011
58,The Graduate,4.11,1967
59,The Wonderful Story of Henry Sugar,3.84,2023
60,Blue Valentine,3.80,2010
61,The Holiday,3.51,2006
62,The Hobbit: The Desolation of Smaug,3.41,2013
63,Air,3.56,2023
64,The Mitchells vs. the Machines,3.87,2021
65,The Fly,3.99,1986
66,Cast Away,3.87,2000
67,Spotlight,4.09,2015
68,10 Cloverfield Lane,3.57,2016
69,The Flash,2.55,2023
70,Thelma & Louise,4.16,1991
71,"Red, White & Royal Blue",3.16,2023
72,West Side Story,3.61,2021
1,Marcel the Shell with Shoes On,4.24,2021
2,Dallas Buyers Club,3.98,2013
3,Slumdog Millionaire,3.91,2008
4,Me Before You,3.39,2016
5,Amadeus,4.33,1984
6,Paddington 2,4.16,2017
7,Bo Burnham: Inside,4.20,2021
8,Malignant,3.06,2021
9,Mission: Impossible,3.60,1996
10,Decision to Leave,3.97,2022
11,House,4.00,1977
12,Infinity Pool,3.14,2023
13,House of Gucci,2.93,2021
14,Big Fish,3.90,2003
15,Rushmore,3.90,1998
16,Napoleon Dynamite,3.69,2004
17,The Game,3.77,1997
18,Dog Day Afternoon,4.31,1975
19,Breakfast at Tiffany's,3.77,1961
20,Mamma Mia! Here We Go Again,3.43,2018
21,Prey,3.57,2022
22,The Theory of Everything,3.61,2014
23,The Unbearable Weight of Massive Talent,3.43,2022
24,The Master,4.01,2012
25,The Mask,3.35,1994
26,The Polar Express,3.25,2004
27,The Life Aquatic with Steve Zissou,3.80,2004
28,Kingsman: The Golden Circle,3.14,2017
29,Okja,3.70,2017
30,Bridget Jones's Diary,3.43,2001
31,The Little Mermaid,3.68,1989
32,The Father,4.29,2020
33,A Bug's Life,3.45,1998
34,Freaky Friday,3.44,2003
35,El Camino: A Breaking Bad Movie,3.56,2019
36,The Intouchables,4.13,2011
37,Gladiator II,3.44,2024
38,We Need to Talk About Kevin,3.81,2011
39,Enola Holmes,3.08,2020
40,Minions: The Rise of Gru,3.15,2022
41,Close,4.11,2022
42,Incendies,4.42,2010
43,A Beautiful Mind,3.84,2001
44,The Gentlemen,3.71,2019
45,A Ghost Story,3.77,2017
46,Uncharted,2.64,2022
47,Do Revenge,3.08,2022
48,The Incredible Hulk,2.47,2008
49,Zack Snyder's Justice League,3.40,2021
50,The Hobbit: The Battle of the Five Armies,3.20,2014
51,Loki,3.80,2021
52,Moulin Rouge!,3.76,2001
53,Jumanji,3.62,1995
54,The Conjuring 2,3.38,2016
55,Godzilla vs. Kong,2.80,2021
56,Creed,3.81,2015
57,Back to the Future Part III,3.54,1990
58,I Am Legend,3.40,2007
59,A Silent Voice: The Movie,4.17,2016
60,Scooby-Doo,3.32,2002
61,Under the Skin,3.62,2013
62,Chernobyl,4.58,2019
63,The Matrix Reloaded,3.37,2003
64,Castle in the Sky,4.05,1986
65,The Twilight Saga: Eclipse,2.61,2010
66,How to Train Your Dragon 2,3.76,2014
67,Misery,3.98,1990
68,The Craft,3.54,1996
69,Onward,3.38,2020
70,Insidious,3.22,2010
71,CODA,3.86,2021
72,Batman,3.62,1989
1,Hidden Figures,3.86,2016
2,Madame Web,1.48,2024
3,The Creator,3.27,2023
4,We Live in Time,3.72,2024
5,Barry Lyndon,4.40,1975
6,She's the Man,3.38,2006
7,Knock at the Cabin,2.88,2023
8,The Seventh Seal,4.34,1957
9,Cars 2,2.82,2011
10,Maestro,3.14,2023
11,The Boy in the Striped Pyjamas,3.63,2008
12,Inside Llewyn Davis,4.04,2013
13,Watchmen,3.65,2009
14,Divergent,2.89,2014
15,Terrifier,2.36,2016
16,Fear Street: 1994,3.09,2021
17,The Mummy,3.54,1999
18,Shrek the Third,2.85,2007
19,Neon Genesis Evangelion: The End of Evangelion,4.47,1997
20,Hocus Pocus,3.47,1993
21,Scream 4,3.32,2011
22,Scary Movie,3.10,2000
23,The Sound of Music,4.14,1965
24,Lucy,2.77,2014
25,22 Jump Street,3.33,2014
26,The Help,3.86,2011
27,Game Night,3.51,2018
28,Sinister,3.33,2012
29,The Matrix Resurrections,2.71,2021
30,X-Men: Apocalypse,2.60,2016
31,Lisa Frankenstein,3.45,2024
32,Thirteen,3.49,2003
33,"Love, Simon",3.26,2018
34,Waves,3.89,2019
35,50 First Dates,3.28,2004
36,Bram Stoker's Dracula,3.70,1992
37,Fury,3.74,2014
38,Nightmare Alley,3.44,2021
39,Swiss Army Man,3.66,2016
40,Beauty and the Beast,3.10,2017
41,Blink Twice,3.37,2024
42,Bridesmaids,3.43,2011
43,Doctor Sleep,3.36,2019
44,Dogtooth,3.74,2009
45,The Farewell,4.07,2019
46,The Wind Rises,4.09,2013
47,Airplane!,3.84,1980
