rank,title,rating,release_year
27,Presumed Innocent,3.47,1990
28,Jamon Jamon,3.22,1992
29,Gigi,3.05,1958
30,The Dinner Game,3.80,1998
31,The Pledge,3.30,2001
32,The Rundown,2.95,2003
33,The Forest,2.02,2016
34,Æon Flux,2.31,2005
35,The Headless Woman,3.62,2008
36,The Cider House Rules,3.42,1999
37,I Came By,2.62,2022
38,Deliver Us from Evil,2.61,2014
39,Bring It On: All or Nothing,3.04,2006
40,Aggro Dr1ft,3.08,2023
41,David Lynch: The Art Life,3.74,2016
42,Cat Person,2.68,2023
43,Tess,3.82,1979
44,"Good Luck Charlie, It's Christmas!",3.12,2011
45,The Christmas Chronicles: Part Two,2.38,2020
46,Tammy and the T-Rex,3.03,1994
47,The Last 10 Years,3.86,2022
48,The Zero Theorem,3.05,2013
49,Police Story 3: Super Cop,3.62,1992
50,The Starling Girl,3.72,2023
51,La Pointe Courte,3.70,1955
52,White Dog,3.69,1982
53,You Should Have Left,2.35,2020
54,Unorthodox,3.93,2020
55,Loves of a Blonde,3.80,1965
56,Strawberry Mansion,3.52,2021
57,Magnum Force,3.53,1973
58,The Fury,3.30,1978
59,Bubble Boy,2.83,2001
60,Fool's Gold,2.61,2008
61,Eight Crazy Nights,2.38,2002
62,Limelight,4.10,1952
63,We All Loved Each Other So Much,4.21,1974
64,Vampire Hunter D,3.43,1985
65,A Wolf at the Door,3.85,2013
66,The Space Between Us,2.71,2017
67,About Fate,2.91,2022
68,The Wild,2.15,2006
69,Flowers of Shanghai,3.91,1998
70,The Big Blue,3.77,1988
71,2010,3.19,1984
72,The Legend of 1900,3.97,1998
1,Me Time,2.02,2022
2,Aavesham,3.80,2024
3,The Second Act,3.18,2024
4,Supersonic,3.85,2016
5,Race to Witch Mountain,2.32,2009
6,"Roman J. Israel, Esq.",3.12,2017
7,Defending Jacob,3.77,2020
8,Mädchen in Uniform,3.87,1931
9,Barbie in 'A Christmas Carol',3.39,2008
10,March of the Penguins,3.55,2005
11,Jaws: The Revenge,1.57,1987
12,Land of Mine,4.01,2015
13,The Jinx: The Life and Deaths of Robert Durst,4.27,2015
14,Honey,3.02,2003
15,"Love, Death & Robots: Beyond the Aquila Rift",3.46,2019
16,35 Shots of Rum,3.94,2008
17,Zindagi Na Milegi Dobara,3.91,2011
18,House of Usher,3.49,1960
19,Pam & Tommy,3.40,2022
20,Superman IV: The Quest for Peace,1.71,1987
21,Lifeboat,3.81,1944
22,Wuthering Heights,3.62,1939
23,Princess Cyd,3.38,2017
24,The Only Living Boy in New York,2.69,2017
25,Manjummel Boys,3.97,2024
26,Tokyo Gore Police,3.34,2008
27,The Abominable Dr. Phibes,3.65,1971
28,Bullet Ballet,3.87,1998
29,Aladdin and the King of Thieves,2.83,1996
30,The Metamorphosis of Birds,4.17,2020
31,Pretend It's a City,3.98,2021
32,Cave of Forgotten Dreams,3.83,2010
33,Dilwale Dulhania Le Jayenge,3.93,1995
34,Bāhubali: The Beginning,3.48,2015
35,Hud,4.01,1963
36,The Towering Inferno,3.46,1974
37,El Sur,4.14,1983
38,Night Moves,3.42,2013
39,Tinker Bell and the Legend of the NeverBeast,3.40,2014
40,A Very Long Engagement,3.70,2004
41,Kind Hearts and Coronets,4.05,1949
42,The Art of Getting By,2.82,2011
43,Grease 2,2.37,1982
44,House of Games,3.71,1987
45,A Man for All Seasons,3.82,1966
46,Life Itself,2.95,2018
47,Burden of Dreams,4.07,1982
48,Nativity!,3.49,2009
49,Night of the Demon,3.78,1957
50,Midnight,3.41,2021
51,The Witcher: Nightmare of the Wolf,3.44,2021
52,The Hobbit,3.25,1977
53,A Matter of Loaf and Death,3.76,2008
54,Justice League Dark,3.24,2017
55,K-PAX,3.30,2001
56,SPY x FAMILY CODE: White,3.64,2023
57,Death by Hanging,4.09,1968
58,Clockwatchers,3.64,1997
59,Tuck Everlasting,3.09,2002
60,"Hello, Dolly!",3.73,1969
61,Disturbing Behavior,2.80,1998
62,Himizu,3.92,2011
63,Attack on Titan: Chronicle,4.50,2020
64,Bud Abbott and Lou Costello Meet Frankenstein,3.58,1948
65,Neighboring Sounds,3.76,2012
66,The Last Exorcism,2.85,2010
67,Before I Go to Sleep,2.92,2014
68,Man Up,3.29,2015
69,Violent Cop,3.74,1989
70,Slumber Party Massacre II,2.95,1987
71,Zero Fucks Given,3.26,2021
72,Underworld: Rise of the Lycans,2.80,2009
1,Up in Smoke,3.40,1978
2,Punisher: War Zone,2.72,2008
3,Lessons of Darkness,4.11,1992
4,Valentine,2.62,2001
5,Niagara,3.42,1953
6,Coffy,3.56,1973
7,Ishtar,3.21,1987
8,Wounds,1.83,2019
9,Wild Hogs,2.37,2007
10,Foreign Correspondent,3.70,1940
11,Jack-Jack Attack,3.53,2005
12,Pieces of April,3.55,2003
13,High Flying Bird,3.24,2019
14,The Munsters,2.43,2022
15,The Joy Luck Club,3.93,1993
16,I Am the Pretty Thing That Lives in the House,2.51,2016
17,Haru,4.14,1996
18,Don't Hug Me I'm Scared,4.03,2011
19,The Burial,3.40,2023
20,It's a Wonderful Knife,2.47,2023
21,The Bad and the Beautiful,3.97,1952
22,Lord of the Flies,3.34,1963
23,Red State,3.00,2011
24,Hitman,2.35,2007
25,You Can't Take It with You,3.82,1938
26,Smallfoot,2.78,2018
27,Step Up 3D,2.92,2010
28,The Cat o' Nine Tails,3.35,1971
29,Next Floor,3.61,2008
30,Missing,3.91,1982
31,Life Itself,3.89,2014
32,Gallipoli,3.76,1981
33,Black Bird,4.08,2022
34,"McFarland, USA",3.55,2015
35,Matinee,3.65,1993
36,I.S.S.,2.43,2023
37,Innerspace,3.45,1987
38,The Money Pit,3.11,1986
39,Star Trek V: The Final Frontier,2.55,1989
40,31,2.51,2016
41,Graveyard Rats,3.06,2022
42,"Jeff, Who Lives at Home",3.21,2011
43,Meantime,3.80,1983
44,Kiss of the Spider Woman,3.71,1985
45,Three... Extremes,3.53,2004
46,The Vampire Lovers,3.26,1970
47,Take This Waltz,3.46,2011
48,Good Luck Chuck,2.10,2007
49,Voyagers,2.26,2021
50,Some Kind of Heaven,3.91,2020
51,The Night Eats the World,3.20,2018
52,Radio Days,3.76,1987
53,Hellbender,3.12,2021
54,Batman: Assault on Arkham,3.36,2014
55,Last Flag Flying,3.43,2017
56,How I Live Now,3.01,2013
57,Believe Me: The Abduction of Lisa McVey,3.43,2018
58,Quadrophenia,3.65,1979
59,Through My Window: Across the Sea,1.69,2023
60,Bachelorette,2.57,2012
61,The Devil's Candy,3.26,2015
62,S.W.A.T.,2.69,2003
63,We Were Soldiers,3.38,2002
64,Motel Destino,3.19,2024
65,Andhadhun,3.87,2018
66,Career Opportunities,2.92,1991
67,New Jack City,3.38,1991
68,Home Again,2.66,2017
69,The Union,2.02,2024
70,Love Me If You Dare,3.52,2003
71,Dead Snow,2.99,2009
72,Frankenweenie,3.52,1984
1,Togo,3.66,2019
2,To Live,4.20,1994
3,Fool's Paradise,2.30,2023
4,Paranormal Activity: The Ghost Dimension,1.90,2015
5,Frantic,3.48,1988
6,Sherlock: The Final Problem,3.76,2017
7,One Week,4.17,1920
8,We Can Be Heroes,1.83,2020
9,Underworld: Awakening,2.61,2012
10,The Tigger Movie,3.40,2000
11,Gozu,3.67,2003
12,Damnation,4.07,1988
13,The Stepfather,3.34,1987
14,Tideland,3.14,2005
15,The Outwaters,2.33,2022
16,All the Colors of the Dark,3.53,1972
17,God's Creatures,3.24,2022
18,Concussion,3.22,2015
19,Four Flies on Grey Velvet,3.43,1971
20,Doodlebug,3.19,1997
21,The Book of Henry,2.56,2017
22,Capone,2.28,2020
23,Payback,3.33,1999
24,John Dies at the End,3.14,2012
25,Swimming Pool,3.46,2003
26,Liz and the Blue Bird,3.99,2018
27,Sherlock: A Study in Pink,4.19,2010
28,Smithereens,3.58,1982
29,Dark Habits,3.40,1983
30,Dead Man's Letters,4.11,1986
31,Transporter 3,2.54,2008
32,The Hand,3.80,2020
33,Bad Words,3.16,2013
34,Ong-Bak,3.57,2003
35,Afraid,1.89,2024
36,Everyone Says I Love You,3.38,1996
37,The Swan Princess,3.16,1994
38,Fear City: A Family-Style Comedy,3.86,1994
39,Wanderlust,2.65,2012
40,The Tin Drum,3.72,1979
41,The Next Three Days,3.26,2010
42,Ballerina,3.03,2016
43,A Haunted House,2.33,2013
44,A Prayer Before Dawn,3.61,2017
45,Clash of the Titans,3.35,1981
46,The Town That Dreaded Sundown,2.92,1976
47,Love & Death,3.78,2023
48,The Last Stand,2.80,2013
49,The Edge of Democracy,3.73,2019
50,A Tale of Winter,3.84,1992
51,Beautiful Thing,3.84,1996
52,Play Misty for Me,3.39,1971
53,Drop Dead Fred,3.02,1991
54,The Pacific,4.12,2010
55,Book of Shadows: Blair Witch 2,1.91,2000
56,Beastie Boys Story,3.90,2020
57,Scarlet Street,3.94,1945
58,The Rugrats Movie,3.14,1998
59,The Postman,3.94,1994
60,Influencer,3.00,2022
61,The King of Kong: A Fistful of Quarters,3.99,2007
62,Gangubai Kathiawadi,3.78,2022
63,Shortbus,3.51,2006
64,A Walk Among the Tombstones,3.05,2014
65,Operation Finale,3.20,2018
66,The Believer,3.46,2001
67,We Are the Best!,3.83,2013
68,Behind Her Eyes,3.35,2021
69,Island of Lost Souls,3.68,1932
70,Cat Soup,4.04,2001
71,How to Date Billy Walsh,1.97,2024
72,Il Posto,4.14,1961
1,Y2K,3.18,2024
2,Homefront,2.80,2013
3,Mirrored Mind,3.88,2005
4,Vita & Virginia,3.21,2018
5,Q,3.13,1982
6,Caro diario,3.90,1993
7,The Watcher,2.83,2022
8,The Delinquents,3.53,2023
9,Kalki 2898-AD,3.10,2024
10,Fat City,3.85,1972
11,The Little Shop of Horrors,3.19,1960
12,Space Sweepers,3.27,2021
13,The Last Witch Hunter,2.33,2015
14,Ransom,3.26,1996
15,The Hitch-Hiker,3.53,1953
16,Somebody I Used to Know,2.70,2023
17,Postcards from the Edge,3.57,1990
18,Stalag 17,3.99,1953
19,Diary of a Wimpy Kid: The Long Haul,1.42,2017
20,Nekromantik,2.64,1988
21,The Three Caballeros,2.96,1944
22,The Band Wagon,3.82,1953
23,The Good Son,3.07,1993
24,"20,000 Species of Bees",3.87,2023
25,Vivo,2.98,2021
26,Maudie,3.70,2016
27,Girl in the Picture,3.55,2022
28,Village of the Damned,3.60,1960
29,Thunderbolt and Lightfoot,3.64,1974
30,Playing,4.27,2007
31,Rollerball,3.27,1975
32,The Fantastic Four: First Steps,No rating,2025
33,What a Way to Go!,3.81,1964
34,Charlie Bartlett,3.34,2007
35,Class Action Park,3.30,2020
36,Prom Night,1.87,2008
37,Cooties,2.78,2014
38,Other Side of the Box,3.44,2018
39,MadS,3.46,2024
40,Casualties of War,3.63,1989
41,Day of Wrath,4.17,1943
42,Machete Kills,2.59,2013
43,Isle of Flowers,4.25,1989
44,Seaspiracy,3.53,2021
45,My Year of Dicks,3.68,2022
46,Colombiana,2.91,2011
47,Star Trek: Generations,3.02,1994
48,Frequency,3.52,2000
49,The Tuxedo,2.39,2002
50,The Deepest Breath,3.75,2023
51,Vanishing Point,3.74,1971
52,Outer Space,3.98,1999
53,Dante's Inferno,3.71,1911
54,When in Rome,2.60,2010
55,The Lie,2.27,2018
56,Vampyros Lesbos,3.17,1971
57,Winchester,2.16,2018
58,Falcon Lake,3.85,2022
59,Death to Smoochy,3.21,2002
60,The 13th Warrior,3.10,1999
61,Junior,2.35,1994
62,The Odd Life of Timothy Green,3.00,2012
63,Batman vs. Robin,3.21,2015
64,Universal Soldier,2.99,1992
65,A Little Something Extra,3.56,2024
66,The New York Ripper,3.31,1982
67,They Live by Night,3.89,1948
68,The Sisterhood of the Traveling Pants 2,3.00,2008
69,My Sassy Girl,3.71,2001
70,Day & Night,3.78,2010
71,"Now, Voyager",3.91,1942
72,Timecop,2.87,1994
1,Black Book,3.80,2006
2,Ping Pong the Animation,4.57,2014
3,Pickup on South Street,3.93,1953
4,Sweetie,3.48,1989
5,Hobo with a Shotgun,3.13,2011
6,The Weather Man,3.23,2005
7,The Natural,3.54,1984
8,Bramayugam,3.79,2024
9,Gilmore Girls: A Year in the Life,3.15,2016
10,The Sacrament,3.00,2013
11,Alligator,3.20,1980
12,Shadow in the Cloud,2.55,2020
13,Disaster Movie,1.15,2008
14,The Man Who Would Be King,3.88,1975
15,The House,2.51,2017
16,Husbands and Wives,3.88,1992
17,Seven Brides for Seven Brothers,3.43,1954
18,Night School,2.29,2018
19,Some Kind of Wonderful,3.29,1987
20,City Slickers,3.34,1991
21,Behind the Candelabra,3.54,2013
22,One Missed Call,3.19,2003
23,"Juliet, Naked",3.26,2018
24,Hoosiers,3.55,1986
25,The Young Pope,4.17,2016
26,Aristotle and Dante Discover the Secrets of the Universe,3.25,2022
27,The American President,3.37,1995
28,Joe Dirt,2.62,2001
29,Mississippi Masala,3.80,1991
30,No One Gets Out Alive,2.37,2021
31,Pale Flower,4.01,1964
32,Less Than Zero,3.17,1987
33,Over the Top,2.90,1987
34,Tale of Tales,3.31,2015
35,My Big Fat Greek Wedding 2,2.73,2016
36,Anthropoid,3.55,2016
37,"One, Two, Three",3.93,1961
38,Alpha Dog,3.31,2006
39,The End We Start From,3.31,2023
40,Sweet Bean,3.87,2015
41,Rescue Dawn,3.56,2006
42,Sitting in Bars with Cake,3.46,2023
43,Dreamcatcher,2.45,2003
44,Macbeth,3.72,1971
45,The Cursed,2.81,2021
46,Teen Wolf: The Movie,2.00,2023
47,"The Vampires or, The Arch Criminals of Paris",3.87,1915
48,The Given Word,4.19,1962
49,Animal,2.37,2023
50,Hot Shots! Part Deux,3.21,1993
51,Escape from Pretoria,3.33,2020
52,My Winnipeg,3.95,2007
53,The Man Who Copied,3.93,2003
54,Smiles of a Summer Night,3.89,1955
55,Beast,3.50,2017
56,The Hundred-Foot Journey,3.51,2014
57,True History of the Kelly Gang,3.25,2019
58,Winnie-the-Pooh: Blood and Honey 2,2.14,2024
59,Yentl,3.58,1983
60,Titan A.E.,3.17,2000
61,3 Men and a Baby,3.10,1987
62,It's a Sin,4.33,2021
63,Book Club,2.83,2018
64,The Alpinist,3.88,2021
65,Jack Ryan: Shadow Recruit,2.71,2014
66,22 July,3.21,2018
67,The Sum of All Fears,2.99,2002
68,Colonia,3.31,2015
69,Jay and Silent Bob Reboot,2.62,2019
70,The Passion of Anna,3.93,1969
71,Wishmaster,2.94,1997
72,Johnny Got His Gun,3.92,1971
1,Gerry,3.43,2002
2,Mortdecai,2.13,2015
3,Sleeper,3.55,1973
4,Southbound,2.99,2015
5,The War of the Worlds,3.40,1953
6,The Outsider,3.57,2020
7,The Good Liar,3.07,2019
8,The Plague Dogs,3.96,1982
9,Flavors of Youth,3.27,2018
10,Dirty Work,3.26,1998
11,La Bamba,3.54,1987
12,The Good Shepherd,3.15,2006
13,Echo,2.65,2024
14,Another Year,3.99,2010
15,Samaritan,2.33,2022
16,Death Wish,2.58,2018
17,"Bell, Book and Candle",3.43,1958
18,Fremont,3.64,2023
19,G.I. Jane,2.93,1997
20,Ball of Fire,3.93,1941
21,Tammy,2.30,2014
22,The Big City,4.22,1963
23,Xanadu,2.88,1980
24,Brother,3.87,1997
25,The Good Girl,3.06,2002
26,Roma,3.83,1972
27,The Descent: Part 2,2.44,2009
28,Dark Harvest,2.64,2023
29,Torso,3.43,1973
30,My Best Friend's Exorcism,2.34,2022
31,Dead of Night,3.75,1945
32,Station Eleven,4.21,2021
33,They Look Like People,3.20,2015
34,Goodbye to Language,3.38,2014
35,Bleed for This,3.38,2016
36,Life as a House,3.37,2001
37,Liberal Arts,3.00,2012
38,The Official Story,3.95,1985
39,When the Cat Comes,3.85,1963
40,The Man from the Future,3.60,2011
41,"Black Cat, White Cat",4.06,1998
42,Volcano,2.61,1997
43,We Are Your Friends,2.72,2015
44,The Spanish Apartment,3.64,2002
45,The Kingdom of Dreams and Madness,4.08,2013
46,The Serpent and the Rainbow,3.26,1988
47,The Lawnmower Man,2.61,1992
48,The Possession of Hannah Grace,2.06,2018
49,The Blood on Satan's Claw,3.29,1971
50,Creepshow 2,3.02,1987
51,Chocolat,3.87,1988
52,Children of the Sea,3.64,2019
53,The Invasion,2.68,2007
54,Suncoast,3.39,2024
55,Woodstock,4.15,1970
56,Them!,3.48,1954
57,Love & Friendship,3.42,2016
58,Fist Fight,2.43,2017
59,Louder Than Bombs,3.45,2015
60,Fateful Findings,2.60,2013
61,My Hero Academia: Two Heroes,3.26,2018
62,Roadgames,3.51,1981
63,Our Friend,3.77,2019
64,Affliction,3.67,1997
65,Keeping Up with the Joneses,2.57,2016
66,The Third Part of the Night,3.84,1971
67,A Futile and Stupid Gesture,3.19,2018
68,Rapture,3.79,1979
69,Memory,3.44,2023
70,The Rite,2.64,2011
71,Copshop,3.02,2021
72,The Hand that Rocks the Cradle,3.33,1992
1,Happy Old Year,3.85,2019
2,The Outside,3.18,2022
3,Ciao Alberto,3.60,2021
4,The Three Musketeers: Milady,3.18,2023
5,The Girl in the Spider's Web,2.64,2018
6,In the Shadow of the Moon,2.75,2019
7,Headhunters,3.70,2011
8,Mamma Roma,4.00,1962
9,Crash Landing on You,4.23,2019
10,Guys and Dolls,3.47,1955
11,True Beauty,3.47,2020
12,Clown,2.61,2014
13,Tales from the Crypt: Demon Knight,3.41,1995
14,Life of the Party,2.56,2018
15,Syriana,3.35,2005
16,V/H/S: Viral,1.80,2014
17,Fred Claus,2.52,2007
18,The Cobbler,2.41,2014
19,Shadows of Forgotten Ancestors,4.03,1965
20,Intruder,3.22,1989
21,Girl in the Basement,2.60,2021
22,To Sleep with Anger,3.90,1990
23,Can You Keep a Secret?,2.13,2019
24,Stromboli,3.84,1950
25,Riley's First Date?,3.28,2015
26,Calibre,3.33,2018
27,Adam's Rib,3.72,1949
28,It Could Happen to You,3.10,1994
29,The Brave Little Toaster,3.43,1987
30,Attack on Titan The Final Chapters: Special 2,4.50,2023
31,Cherry Falls,2.93,2000
32,Open Range,3.69,2003
33,Whatever Works,3.22,2009
34,Short Circuit,3.21,1986
35,Wild Rose,3.60,2018
36,My Mom Is a Character,3.70,2013
37,The Conference,2.70,2023
38,Entranced Earth,3.90,1967
39,The Collection,2.83,2012
40,Grandma's Boy,3.03,2006
41,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,3.87,2019
42,Awake,3.02,2007
43,The Ox-Bow Incident,4.12,1943
44,La luna,3.80,2011
45,Dolls,3.29,1986
46,It's Okay to Not Be Okay,4.06,2020
47,A Shaun the Sheep Movie: Farmageddon,3.35,2019
48,Mother's Day,2.32,2016
49,"Basic Sanitation, the Movie",3.98,2007
50,Sabotage,3.52,1936
51,True Grit,3.64,1969
52,National Lampoon's European Vacation,2.89,1985
53,Half Baked,3.14,1998
54,Sightseers,3.38,2012
55,Who's That Knocking at My Door,3.22,1967
56,The Haunting in Connecticut,2.62,2009
57,Camera Buff,4.10,1979
58,"You, the Living",3.96,2007
59,Destroy All Monsters,3.28,1968
60,Brian and Charles,3.50,2022
61,3:10 to Yuma,3.90,1957
62,What Jennifer Did,2.38,2024
63,The Lucky One,2.62,2012
64,To Each His Own Cinema,3.49,2007
65,A Christmas Prince,2.31,2017
66,"Yours, Mine & Ours",2.82,2005
67,The Kid with a Bike,3.88,2011
68,Old Henry,3.63,2021
69,Impetigore,3.38,2019
70,102 Dalmatians,2.43,2000
71,Tell It to the Bees,3.14,2018
72,Clockers,3.64,1995
1,Maverick,3.39,1994
2,The Tribe,3.63,2014
3,World Trade Center,2.73,2006
4,Margot at the Wedding,3.21,2007
5,Foxy Brown,3.44,1974
6,The United States vs. Billie Holiday,2.80,2021
7,Here Comes the Boom,2.69,2012
8,The Party,3.58,1968
9,La Belle Époque,3.79,2019
10,Muppets from Space,3.31,1999
11,One False Move,3.72,1991
12,Crossing,3.96,2024
13,No Bears,3.85,2022
14,Cocoon,3.29,1985
15,Reign Over Me,3.47,2007
16,Resolution,3.42,2012
17,Friday Night Lights,3.56,2004
18,The Andromeda Strain,3.62,1971
19,Triple 9,2.84,2016
20,Toys,2.70,1992
21,Wadjda,3.80,2012
22,Bunny Lake Is Missing,3.89,1965
23,The Best Exotic Marigold Hotel,3.36,2011
24,Toc Toc,3.33,2017
25,Wiener-Dog,3.18,2016
26,It Takes Two,3.18,1995
27,Baghead,2.27,2023
28,Lenny,3.86,1974
29,The Mosquito Coast,3.43,1986
30,Home Sweet Home Alone,1.40,2021
31,Reality,3.67,2014
32,The Last Metro,3.73,1980
33,Ip Man 3,3.22,2015
34,Hamlet,3.71,1948
35,The Nun,3.96,1966
36,Raising Cain,3.26,1992
37,Endless Love,2.68,2014
38,Monster's Ball,3.31,2001
39,The Zookeeper's Wife,3.40,2017
40,Dennis the Menace,2.64,1993
41,King Kong vs. Godzilla,3.06,1962
42,The Magician,3.80,1958
43,The Riot Club,2.76,2014
44,An Officer and a Gentleman,3.41,1982
45,Dolores Claiborne,3.70,1995
46,The Producers,3.24,2005
47,Shadows in Paradise,3.86,1986
48,Our Father,3.02,2022
49,Frankie and Johnny,3.42,1991
50,Silent Running,3.31,1972
51,End of Days,2.69,1999
52,Respect,3.11,2021
53,In & Out,3.29,1997
54,Firestarter,2.92,1984
55,The Princess Switch: Switched Again,2.14,2020
56,Taxi,3.27,1998
57,Batman: Bad Blood,3.04,2016
58,Phase IV,3.49,1974
59,"Love, Death & Robots: Good Hunting",3.58,2019
60,Divines,3.86,2016
61,Dark Skies,2.77,2013
62,Godzilla Raids Again,2.68,1955
63,Goosebumps 2: Haunted Halloween,2.26,2018
64,Nocturama,3.62,2016
65,The 4th Man,3.80,1983
66,The Act,3.65,2019
67,No Way Out,3.46,1987
68,Abduction,1.96,2011
69,Deuce Bigalow: Male Gigolo,2.34,1999
70,Mona Lisa,3.80,1986
71,The Life of Oharu,4.17,1952
72,Silvia Prieto,3.67,1999
1,Titus,3.63,1999
2,The Last Five Years,3.12,2014
3,Fools Rush In,2.94,1997
4,Varda by Agnès,4.04,2019
5,Who Am I,3.50,2014
6,Sharp Stick,2.52,2022
7,Ben Is Back,3.28,2018
8,Lagaan: Once Upon a Time in India,3.87,2001
9,Bubble,2.90,2022
10,The Gate,3.17,1987
11,Mortal Kombat: Annihilation,1.53,1997
12,Sharpay's Fabulous Adventure,2.63,2011
13,Torn Curtain,3.19,1966
14,A Good Year,3.11,2006
15,Diner,3.56,1982
16,The Stepfather,2.36,2009
17,Cashback,3.20,2006
18,The Little Drummer Girl,3.85,2018
19,U.S. Marshals,3.10,1998
20,The Cheetah Girls 2,3.13,2006
21,The Train,4.06,1964
22,Dave Made a Maze,3.32,2017
23,October (Ten Days that Shook the World),3.83,1927
24,BLACKPINK: Light Up the Sky,3.68,2020
25,In the Fade,3.59,2017
26,Revolver,2.91,2005
27,Tongues Untied,4.24,1989
28,My Summer of Love,3.25,2004
29,"20,000 Leagues Under the Sea",3.54,1954
30,Frankenstein,No rating,
31,Man in Love,3.57,2021
32,The Devil's Bath,3.47,2024
33,Blue Steel,3.14,1990
34,RBG,3.76,2018
35,The Greasy Strangler,3.08,2016
36,Atman,3.51,1975
37,Infinite,2.07,2021
38,"Ghidorah, the Three-Headed Monster",3.38,1964
39,Candy Cane Lane,2.32,2023
40,Smooth Talk,3.60,1985
41,"See No Evil, Hear No Evil",3.32,1989
42,Wilde,3.29,1997
43,The Time to Live and the Time to Die,4.02,1985
44,Early Man,2.91,2018
45,"Game Over, Man!",2.41,2018
46,Jeremiah Johnson,3.82,1972
47,Jane B. for Agnès V.,3.96,1988
48,Memories of Underdevelopment,3.88,1968
49,The Postman Always Rings Twice,3.62,1946
50,Blue Bayou,3.71,2021
51,Amanda Knox,3.34,2016
52,On the Road,2.87,2012
53,History of the Occult,3.58,2020
54,Magic,3.46,1978
55,Creepy,3.47,2016
56,National Theatre Live: Prima Facie,4.56,2022
57,The Heroic Trio,3.59,1993
58,Fanny and Alexander,4.51,1984
59,Zapped,2.07,2014
60,Tell Me Who I Am,3.73,2019
61,Turbo Kid,3.44,2015
62,Stan & Ollie,3.47,2018
63,Domino,2.85,2005
64,Halloweentown High,2.75,2004
65,Girl Picture,3.65,2022
66,North Hollywood,2.98,2021
67,Pumping Iron,3.73,1977
68,Sweet Home,3.72,2020
69,Freaked,3.57,1993
70,The Happytime Murders,2.16,2018
71,Smurfs: The Lost Village,2.37,2017
72,Stuart: A Life Backwards,3.75,2007
1,This Must Be the Place,3.34,2011
2,Hour of the Star,3.75,1985
3,Barefoot Gen,3.95,1983
4,A Perfect Murder,3.17,1998
5,Free Birds,2.57,2013
6,OLIVIA RODRIGO: driving home 2 u (a SOUR film),3.85,2022
7,Gloria Bell,3.29,2018
8,The Wedding Banquet,3.80,1993
9,Angel Dust,3.87,1994
10,Heavyweights,3.21,1995
11,DragonHeart,3.05,1996
12,Closet Monster,3.57,2015
13,Don't Tell Mom the Babysitter's Dead,3.16,1991
14,"Kumiko, the Treasure Hunter",3.57,2014
15,Italianamerican,3.97,1974
16,Queen of Earth,3.41,2015
17,The 6th Day,2.74,2000
18,"Alice, Darling",2.99,2022
19,Elizabeth: The Golden Age,3.28,2007
20,"10,000 BC",2.01,2008
21,Buffaloed,3.20,2019
22,Cadet Kelly,2.65,2002
23,Meet Cute,2.60,2022
24,Eye in the Sky,3.49,2015
25,Elephant,3.81,1989
26,"Love, Death & Robots: Ice Age",2.99,2019
27,The Jacket,3.24,2005
28,Stigmata,2.79,1999
29,Azur & Asmar: The Princes' Quest,4.18,2006
30,Five,3.40,2016
31,Awake,2.12,2021
32,Limite,3.77,1931
33,Broken Arrow,2.92,1996
34,Goldman v Silverman,3.31,2020
35,The Girl Who Killed Her Parents,2.72,2021
36,Vamps,2.96,2012
37,White Material,3.75,2009
38,Steins;Gate,4.39,2011
39,Wrong Turn 2: Dead End,2.67,2007
40,The Death of Superman,3.45,2018
41,Luce,3.43,2019
42,Shaft,2.71,2019
43,Mile 22,2.44,2018
44,Pump Up the Volume,3.70,1990
45,Last Summer,3.35,2023
46,Barbie Fairytopia: Magic of the Rainbow,3.29,2007
47,Gangs of Wasseypur – Part 1,4.00,2012
48,The Last of Sheila,3.74,1973
49,La Grande Bouffe,3.62,1973
50,Rocks,3.93,2019
51,Mr. Holmes,3.32,2015
52,A Complete Unknown,No rating,2024
53,Baskin,3.03,2015
54,Catfish,3.45,2010
55,Justice League vs. Teen Titans,3.10,2016
56,The Ward,2.46,2010
57,Carnal Knowledge,3.62,1971
58,Working Girls,3.85,1986
59,Equals,2.86,2015
60,Benny & Joon,3.44,1993
61,Duplex,2.76,2003
62,Othello,3.82,1951
63,Marmalade,3.51,2024
64,The Way Back,3.47,2010
65,Feast,4.00,2014
66,The Edge,3.40,1997
67,Rings,1.73,2017
68,This Is Me…Now,1.87,2024
69,The Back-Up Plan,2.56,2010
70,Two for the Road,3.85,1967
71,The Lion in Winter,4.00,1968
72,Inside Job,3.85,2010
1,Bananas,3.39,1971
2,A Mighty Wind,3.66,2003
3,Munich: The Edge of War,3.33,2021
4,Ultraviolet,2.00,2006
5,Agora,3.37,2009
6,The Fearless Vampire Killers,3.27,1967
7,The Omen,2.42,2006
8,The Young Victoria,3.42,2009
9,Your Highness,2.23,2011
10,Hail Satan?,3.66,2019
11,Castaway on the Moon,4.05,2009
12,Brittany Runs a Marathon,3.18,2019
13,I Know Where I'm Going!,3.81,1945
14,School Ties,3.30,1992
15,Real Life,3.83,1979
16,Kika,3.18,1993
17,Summertime,3.64,1955
18,Sleepwalkers,2.76,1992
19,Saboteur,3.50,1942
20,Between the Temples,3.50,2024
21,Chi-Raq,3.28,2015
22,Limbo,3.89,2020
23,WHAM!,3.73,2023
24,Mr. Klein,3.99,1976
25,Southern Comfort,3.71,1981
26,Joe,3.48,2013
27,Samurai Cop,2.54,1991
